Currency,FX Score,Levels,Current Price,Upper Level,Lower Level,Total Distance UL,% Away Lower,% Away Upper,SR Filter
AUDCAD,0,"[0.9337700009346008, 0.93987, 0.93987, 0.9466500282287598, 0.9556499719619751, 0.9669399857521057, 0.9758300185203552]",0.93987,0.9466500282287598,0.9337700009346008,0.012880027294158936,0.4736014082955779,0.5263985917044222,NEUTRAL
AUDCHF,-2,"[0.6982600092887878, 0.69947, 0.69947, 0.7039700150489807, 0.7077299952507019, 0.7126299738883972, 0.7189800143241882]",0.69947,0.7039700150489807,0.6982600092887878,0.005710005760192871,0.211907091171012,0.788092908828988,NEUTRAL
AUDJPY,2,"[83.0270004272461, 83.54900360107422, 84.23899841308594, 84.64, 84.64, 84.81600189208984, 85.7959976196289]",84.64,84.81600189208984,84.23899841308594,0.5770034790039062,0.6949725634346623,0.3050274365653377,NEUTRAL
AUDNZD,0,"[1.0702099800109863, 1.07423996925354, 1.07632, 1.07632, 1.0787800550460815, 1.0801000595092773, 1.082900047302246, 1.0874500274658203]",1.07632,1.0787800550460815,1.07423996925354,0.004540085792541504,0.4581478944466201,0.5418521055533799,NEUTRAL
AUDUSD,0,"[0.7583299875259399, 0.76350998878479, 0.7705699801445007, 0.77224, 0.77224, 0.7783899903297424, 0.7890300154685974]",0.77224,0.7783899903297424,0.7705699801445007,0.0078200101852417,0.21355724812878724,0.7864427518712127,NEUTRAL
CADCHF,0,"[0.7252299785614014, 0.7330499887466431, 0.7378399968147278, 0.7416700124740601, 0.74412, 0.74412, 0.7462999820709229, 0.7521600127220154]",0.74412,0.7462999820709229,0.7416700124740601,0.004629969596862793,0.5291584479518018,0.47084155204819816,NEUTRAL
CADJPY,2,"[86, 86.9000015258789, 87.84500122070312, 89.17400360107422, 90.037, 90.037, 90.63899993896484]",90.037,90.63899993896484,89.17400360107422,1.464996337890625,0.5890775127590918,0.41092248724090824,NEUTRAL
EURAUD,0,"[1.540310025215149, 1.5484299659729004, 1.5573699474334717, 1.563289999961853, 1.56402, 1.56402, 1.568850040435791]",1.56402,1.568850040435791,1.563289999961853,0.005560040473937988,0.13129401513689057,0.8687059848631095,NEUTRAL
EURCAD,1,"[1.4581600427627563, 1.47018, 1.47018, 1.4720100164413452, 1.483989953994751, 1.5020099878311157, 1.5191700458526611]",1.47018,1.4720100164413452,1.4581600427627563,0.013849973678588867,0.8678685978895212,0.13213140211047877,NEUTRAL
EURCHF,-2,"[1.0923000574111938, 1.09416, 1.09416, 1.096519947052002, 1.1000699996948242, 1.1023399829864502, 1.1049200296401978, 1.1095399856567383]",1.09416,1.096519947052002,1.0923000574111938,0.0042198896408081055,0.4407562157123133,0.5592437842876866,NEUTRAL
EURGBP,0,"[0.8471400141716003, 0.8519499897956848, 0.86029, 0.86029, 0.8622999787330627, 0.8682199716567993, 0.8719000220298767]",0.86029,0.8622999787330627,0.8519499897956848,0.01034998893737793,0.8057989486535669,0.194201051346433,NEUTRAL
EURJPY,10,"[129.56500244140625, 130.20199584960938, 130.9929962158203, 131.8419952392578, 132.391, 132.391, 132.72500610351562]",132.391,132.72500610351562,131.8419952392578,0.8830108642578125,0.6217417961257222,0.3782582038742778,NEUTRAL
EURUSD,2,"[1.1736899614334106, 1.1821099519729614, 1.195039987564087, 1.2079, 1.2079, 1.2079299688339233, 1.2181099653244019]",1.2079,1.2079299688339233,1.195039987564087,0.012889981269836426,0.997675028900663,0.002324971099337093,NEUTRAL
CHFJPY,6,"[117.13999938964844, 117.82099914550781, 119.0780029296875, 120.1719970703125, 120.979, 120.979, 121.0739974975586]",120.979,121.0739974975586,120.1719970703125,0.9020004272460938,0.8946813164505562,0.1053186835494439,NEUTRAL
GBPAUD,0,"[1.7739399671554565, 1.7834500074386597, 1.797510027885437, 1.8086899518966675, 1.81774, 1.81774, 1.8234299421310425]",1.81774,1.8234299421310425,1.8086899518966675,0.014739990234375,0.613979246894404,0.3860207531055961,NEUTRAL
GBPCHF,-2,"[1.258180022239685, 1.2626899480819702, 1.2671500444412231, 1.2714099884033203, 1.27172, 1.27172, 1.27524995803833, 1.28193998336792, 1.3073099851608276]",1.27172,1.27524995803833,1.2714099884033203,0.0038399696350097656,0.08073282503413876,0.9192671749658613,NEUTRAL
GBPJPY,4,"[149.05099487304688, 150.21099853515625, 151.2530059814453, 152.875, 153.876, 153.876, 154.4239959716797]",153.876,154.4239959716797,152.875,1.5489959716796875,0.6462250504851531,0.35377494951484695,NEUTRAL
GBPUSD,0,"[1.366819977760315, 1.375, 1.3865100145339966, 1.4008400440216064, 1.4039, 1.4039, 1.4165899753570557]",1.4039,1.4165899753570557,1.4008400440216064,0.01574993133544922,0.19428376627308036,0.8057162337269197,NEUTRAL
NZDCAD,-2,"[0.8663399815559387, 0.8665400147438049, 0.87294, 0.87294, 0.8819599747657776, 0.8887400031089783, 0.8967499732971191, 0.9081400036811829]",0.87294,0.8819599747657776,0.8665400147438049,0.015419960021972656,0.4150455154926125,0.5849544845073875,NEUTRAL
NZDJPY,2,"[76.65399932861328, 76.85099792480469, 77.6989974975586, 78.42900085449219, 78.621, 78.621, 79.41400146484375]",78.621,79.41400146484375,78.42900085449219,0.9850006103515625,0.19492286958003005,0.80507713041997,NEUTRAL
NZDUSD,-2,"[0.69964998960495, 0.7069000005722046, 0.71733, 0.71733, 0.7174999713897705, 0.7229300141334534, 0.730430006980896]",0.71733,0.7174999713897705,0.7069000005722046,0.010599970817565918,0.9839649190836626,0.016035080916337405,NEUTRAL
USDCAD,1,"[1.2044700384140015, 1.21708, 1.21708, 1.220270037651062, 1.2417999505996704, 1.2652900218963623]",1.21708,1.220270037651062,1.2044700384140015,0.015799999237060547,0.7980988730949109,0.20190112690508907,NEUTRAL
USDCHF,-2,"[0.8980799913406372, 0.90585, 0.90585, 0.9093199968338013, 0.9195399880409241, 0.9302099943161011, 0.943809986114502]",0.90585,0.9093199968338013,0.8980799913406372,0.011240005493164062,0.6912815713558499,0.30871842864415017,NEUTRAL
USDJPY,6,"[107.47100067138672, 108.4280014038086, 109.23999786376953, 109.602, 109.602, 109.95500183105469, 110.74500274658203]",109.602,109.95500183105469,109.23999786376953,0.7150039672851562,0.5062938847807815,0.4937061152192184,NEUTRAL
